Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
500202,India Lease Development Ltd,RAJIV GUPTA,Promoter,Acquisition,Market Purchase,Equity Shares,60000,584305.00,913245,6.21,973245,6.62,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
940227,PRACHAY CAPITAL Ltd,Prachay Capital Holdings Private Limited,Promoter Group,Disposal,Off Market,Debentures,1500,1492521.00,10522,0.34,9022,0.29,19 Jun 2026,19 Jun 2026,19 Jun 2026,NA
940227,PRACHAY CAPITAL Ltd,Prachay Capital Holdings Private Limited,Promoter Group,Disposal,Off Market,Debentures,500,500000.00,9022,0.29,8522,0.27,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
940227,PRACHAY CAPITAL Ltd,Prachay Capital Holdings Private Limited,Promoter Group,Disposal,Off Market,Debentures,500,500000.00,8522,0.27,8022,0.26,20 Jun 2026,20 Jun 2026,22 Jun 2026,NA
500124,Dr Reddys Laboratories Ltd,Tricia Wetzel,Designated Person,Acquisition,ESOP,Any other instrument,4275,5419845.00,1275,0.00,5550,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
517393,Reganto Enterprises Ltd,VISTARA NETWORK PRIVATE LIMITED,Designated Person,Disposal,Market Sale,Equity Shares,54016,373767.00,22286661,15.23,22232645,15.19,19 Jun 2026,19 Jun 2026,22 Jun 2026,BSE
533095,Bengal & Assam Company Ltd,Raghupati Singhania (Karta of Raghupati Singhania HUF),Promoter Group,Disposal,Inter-se Transfer,Equity Shares,30758,0.00,30758,0.27,0,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
533095,Bengal & Assam Company Ltd,Raghupati Singhania,Promoter Group,Acquisition,Inter-se Transfer,Equity Shares,15379,0.00,973516,8.54,988895,8.67,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
533095,Bengal & Assam Company Ltd,Sunanda Singhania,Promoter Group,Acquisition,Inter-se Transfer,Equity Shares,15379,0.00,21955,0.19,37334,0.33,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
514470,Winsome Textile Industries Ltd-$,SHILPA BAGRODIA,Promoter Group,Acquisition,Market Purchase,Equity Shares,90000,8191134.00,1078754,5.44,1168754,5.89,19 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Acquisition,Market Purchase,Equity Shares,78200,2323944.00,4570543,12.65,4648743,12.87,23 Jun 2026,23 Jun 2026,23 Jun 2026,BSE
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Acquisition,Market Purchase,Equity Shares,31815,897819.00,4538728,12.56,4570543,12.65,22 Jun 2026,23 Jun 2026,23 Jun 2026,BSE
526269,Crestchem Ltd,SONALBEN DUSHYANTBHAI PATEL,Directors Immediate Relative,Disposal,Market Sale,Equity Shares,1250,175882.00,9045,0.30,7795,0.26,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Acquisition,Market Purchase,Equity Shares,22513,642071.00,4516215,12.50,4538728,12.56,16 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
539436,Coffee Day Enterprises Ltd,Coffee Day Consolidations Private Limited (Revised),Promoter Group,Revoke,Pledge Released,Equity Shares,150000,3948000.00,5454823,2.58,5454823,2.58,24 Apr 2026,24 Apr 2026,27 Apr 2026,NA
539436,Coffee Day Enterprises Ltd,Coffee Day Consolidations Private Limited (Revised),Promoter Group,Revoke,Pledge Released,Equity Shares,4269780,100766808.00,5454823,2.58,5454823,2.58,26 Feb 2026,25 Mar 2026,07 Apr 2026,NA
539289,Aurum PropTech Ltd,Aurum RealEstate Developers Limited,Promoter,Acquisition,Market Purchase,Equity Shares,30000,6235185.00,36698355,47.87,36728355,47.91,22 Jun 2026,22 Jun 2026,22 Jun 2026,NSE
513119,Onix Solar Energy Ltd,"Onix Renewable 
Limited",Promoter,Disposal,Off Market,Equity Shares,1382246,532164710.00,19896131,53.97,18513885,50.22,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
533090,Landsmill Green Ltd,Lakhmendra Khurana,Promoter & Director,Disposal,Gift,Equity Shares,50000000,42000000.00,145791451,0.10,95791451,6.79,19 Jun 2026,19 Jun 2026,22 Jun 2026,NSE
590066,KCP Ltd,VRK GRANDSONS INVESTMENT LTD,Promoter Group,Acquisition,Market Purchase,Equity Shares,35000,5779717.00,4354505,3.38,4389505,3.40,17 Jun 2026,18 Jun 2026,23 Jun 2026,NSE
504080,JSL Industries Ltd,SAATYAKI ANANT AMIN,Promoter Group,Disposal,Market Sale,Equity Shares,1000,853160.00,175674,14.96,174674,14.88,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
