Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
531599,FDC Ltd,NANDAN MOHAN CHANDAVARKAR In the capacity of Trustee Mohan Anand Chandavarkar Trust ,Promoter,Equity,17606855,10.81,Equity,2670316,0.00,Acquisition,-,20277171,12.45,24 Jun 2026,24 Jun 2026,24 Jun 2026,Inter-se-Transfer,,,,,,,NA,09 Jul 2026
531599,FDC Ltd,NANDAN MOHAN CHANDAVARKAR In the capacity of Trustee Sandhya Mohan Chandavarkar Trust ,Promoter,Equity,17917400,11.01,Equity,2359770,0.00,Acquisition,-,20277170,12.45,24 Jun 2026,24 Jun 2026,24 Jun 2026,Inter-se-Transfer,,,,,,,NA,09 Jul 2026
520056,TVS Holdings Ltd,VS Trust Venu Srinivasan Trustee ,Promoter,Equity,13464665,66.55,Equity,420400,5966737200.00,,-,13464665,66.55,07 Jul 2026,07 Jul 2026,07 Jul 2026,Others,,,,,,,NA,09 Jul 2026
532395,Axiscades Technologies Ltd,Jupiter Capital Private Limited,Promoter,Equity,23682047,55.68,Equity,1000000,153900000.00,,-,23682047,55.68,07 Jul 2026,07 Jul 2026,08 Jul 2026,Pledge Creation,,,,,,,NA,09 Jul 2026
513566,Nova Iron & Steel Ltd,Olympian Finvest Private Limited,Promoter Group,Equity,4385675,12.14,Equity,188000,2068000.00,Acquisition,-,4573675,12.66,03 Jul 2026,06 Jul 2026,07 Jul 2026,Inter-se-Transfer,,,,,,,BSE,09 Jul 2026
513566,Nova Iron & Steel Ltd,Shivalikview Steel Trading Private Limited,Promoter Group,Equity,94000,0.26,Equity,94000,1034000.00,Disposal,-,0,0.00,06 Jul 2026,06 Jul 2026,07 Jul 2026,Inter-se-Transfer,,,,,,,BSE,09 Jul 2026
513566,Nova Iron & Steel Ltd,Rockland Steel Trading Private Limited,Promoter Group,Equity,94000,0.26,Equity,94000,1034000.00,Disposal,-,0,0.00,03 Jul 2026,03 Jul 2026,07 Jul 2026,Inter-se-Transfer,,,,,,,BSE,09 Jul 2026
513566,Nova Iron & Steel Ltd,Aarti Iron & Power Private Limited,Promoter Group,Equity,94000,0.26,Equity,94000,1034000.00,Disposal,-,0,0.00,08 Jul 2026,08 Jul 2026,09 Jul 2026,Inter-se-Transfer,,,,,,,BSE,09 Jul 2026
513566,Nova Iron & Steel Ltd,Olympian Finvest Private Limited,Promoter Group,Equity,4573675,12.66,Equity,94000,1034000.00,Acquisition,-,4667675,12.92,08 Jul 2026,08 Jul 2026,09 Jul 2026,Inter-se-Transfer,,,,,,,BSE,09 Jul 2026
538920,Vintage Coffee And Beverages Ltd,Tati Sai Teja,Promoter and Director,Equity,1627025,1.12,Equity,800000,99200000.00,Acquisition,-,2427025,1.66,07 Jul 2026,07 Jul 2026,09 Jul 2026,Conversion of security,,,,,,,NA,09 Jul 2026
538920,Vintage Coffee And Beverages Ltd,Tati Sai Teja,Promoter and Director,Equity,1627025,1.12,Equity,800000,99200000.00,Acquisition,-,2427025,1.66,07 Jul 2026,07 Jul 2026,09 Jul 2026,Conversion of security,,,,,,,NA,09 Jul 2026
543248,Restaurant Brands Asia Ltd,F&B Asia Ventures Singapore  Pte. Ltd.,Promoter Group,Equity,1,0.00,Equity,1,70.00,Disposal,-,0,0.00,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
543248,Restaurant Brands Asia Ltd,QSR Asia Pte. Ltd.,Promoter,Equity,65623090,9.22,Equity,65623090,4593616300.00,Disposal,-,0,0.00,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2101604,2.23,Equity,1424,1010912.00,Disposal,-,2100180,2.23,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2100180,2.23,Equity,2253,1599427.00,Disposal,-,2097927,2.23,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2097927,2.23,Equity,1295,919333.00,Disposal,-,2096632,2.22,07 Jul 2026,07 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2096632,2.22,Equity,889,637102.00,Disposal,-,2095743,2.22,08 Jul 2026,08 Jul 2026,08 Jul 2026,Off Market,,,,,,,NA,09 Jul 2026
543925,Maple Infrastructure Trust,CDPQ Infrastructures Asia III Inc. Revised ,Other,Any other instrument,211302000,44.69,Any other instrument,177289950,25263817875.00,Revoke,-,211302000,44.69,03 Jul 2026,03 Jul 2026,06 Jul 2026,,,,,,,,NA,08 Jul 2026
531173,Syschem India Ltd,Virendra Popatlal Shah,Promoter,Equity,5442808,11.05,Equity,982500,36106875.00,Acquisition,-,6425308,11.98,07 Jul 2026,07 Jul 2026,08 Jul 2026,Allotment,,,,,,,BSE,08 Jul 2026
531173,Syschem India Ltd,Bhavesh Virendra Shah,Promoter,Equity,3362644,6.83,Equity,862500,31696875.00,Acquisition,-,4225144,7.88,07 Jul 2026,07 Jul 2026,08 Jul 2026,Allotment,,,,,,,BSE,08 Jul 2026
